A ɑ
a a
A6 ɑɐ
a6 aɐ
aA aɑ
aAN aɑ
ae ae
aE aɛ
aeN aeŋ
aen aen
ah aː
Ah ɑː
Ah6 ɑːɐ
ah6 aɐː
Ahn ɑ͂ː
AhN ɑːŋ
ahn aːn
ahN aːŋ
AI ɑɪ
aI aɪ
AN ɑŋ
aN aŋ
An ɑn
an an
ao ao
aO aɔ
aO1 aɔɶ
ao1 aoɶ
aoN aoŋ
aU aʊ
B β
b b
bf bf
bsth b
C ç
ch x
D ð
d d
dF d
dsth d
E ɛ
e e
E6 ɛɐ
ea ea
Ea ɛa
eE eɛ
Ee ɛe
EeN ɛeŋ
eh eː
Eh ɛː
e~: eː 
Eh6 ɛːn
Ehn ɛːn
EhN ɛːŋ
Ei ɛi
EN ɛŋ
En ɛn
EP6 e
eP6 eɐ
f f
G ɣ
g ɡ
GS ʔ
gsth ɡ
h h
I ɪ
i i
I6 ɪɐ
i6 iɐ
iE iɛ
ih iː
ih6 iːɐ
ihn iːn
ihN iːŋ
Ii ɪi
iN iŋ
in in
iP6 iɐ
iV i
j j
k k
kch kx
kH kɥ
ks ks
L ʎ
l l
ll l̩
m m
ml m̩̩
N ŋ
n n
Nl ŋ̩̩
nl n̩
O ɔ
o o
O6 ɔɐ
Oa ɔ
oa o
oaN oaŋ
OaN ɔaŋ
Oan ɔan
oan oan
Oe ɔe
OE ɔɛ
oe oe
Oh ɔː
oh oː
Oh6 ɔːɐ
oh6 oːɐ
Ohn ɔːn
ohn oːn
oI oɪ
oi oi
ON ɔŋ
On ɔn
Oo ɔo
OP6 ɔɐ
OU ɔʊ
OY ɔʏ
p p
P1h ɶ
P1: ɶ
P2 ø
P2h øː
P2h6 øːɐ
P3h ɛ̃ː
P3hn ɛ̃ː
P6 ɐ
P6N ɐŋ
P6n ɐn
P6O ɐɔ
P6U ɐʊ
P9 œ
P96 œɐ
P9e œe
P9hn œːn
P9P2 œø
P9h œː
pau ~
pH pɥ
Qh ɒː
R ʀ
r r
RX ʀχ
S ʃ
s s
sh sː
schwa ə
sil ~
t t
tH tɥ
tS tʃ
ts ts
U ʊ
u u
U6 ʊɐ
ua u
ue u
uh uː
uh6 uːɐ
Uh6 ʊːɐ
Ui ʊi
ui ui
uI uɪ
uN uŋ
UP6 ʊɐ
uP6 uɐ
Uu ʊu
v v
Y ʏ
y y
Y6 ʏɐ
yh ʏː
yh6 ʏːɐ
yP6 ʏɐ
Z ʒ
z z
